Mode,MNLC,MASC,Station,Coverage,Source,Entries Monday,Entries Midweek (Tue-Thu),Entries Friday,Entries Saturday,Entries Sunday,Exits Monday,Exits Midweek (Tue-Thu),Exits Friday,Exits Saturday,Exits Sunday,Weekly Entries and Exits,12 week Entries and Exits,Annualised Entries and Exits
LU,548,CPNu,Clapham North,Station entry/exit,TAPS,"6,487","7,505","8,605","8,777","4,975","7,020","8,495","8,542","8,769","5,143","106,316","1,275,788","5,177,513"
LU,549,CPSu,Clapham South,Station entry/exit,TAPS,"9,334","11,176","10,467","8,958","5,528","9,604","11,216","9,949","8,742","5,925","135,682","1,628,179","6,607,619"
LU,550,CFSu,Cockfosters,Station entry/exit,TAPS,"2,035","2,312","2,215","2,336","1,491","2,028","2,330","2,258","2,327","1,536","30,151","361,812","1,468,338"
LU,551,COLu,Colindale,---Station Closed---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
LU,552,CLWu,Colliers Wood,Station entry/exit,TAPS,"8,037","9,198","8,848","8,077","5,315","7,801","8,883","8,347","7,644","5,361","113,672","1,364,060","5,535,748"
LU,553,COVu,Covent Garden,Station entry/exit,TAPS,"14,126","19,185","17,754","24,126","13,509","16,225","21,851","21,478","30,780","16,462","277,570","3,330,842","13,517,513"
LU,554,CRXu,Croxley,Station entry/exit,TAPS,"1,425","1,722","1,365",817,444,"1,421","1,711","1,367",810,494,"18,441","221,290","898,058"
LU,555,DGEu,Dagenham East,Station entry/exit,TAPS,"4,554","4,760","4,662","3,187","2,109","4,267","4,432","4,259","2,887","2,008","55,508","666,093","2,703,195"
LU,556,DGHu,Dagenham Heathway,Station entry/exit,TAPS,"8,169","8,334","8,274","5,599","3,888","8,090","8,219","8,081","5,408","3,865","101,032","1,212,388","4,920,217"
LU,557,DEBu,Debden,Station entry/exit,TAPS,"3,136","3,607","3,239","2,075","1,210","3,147","3,518","3,139","2,026","1,243","40,588","487,053","1,976,599"
LU,558,DHLu,Dollis Hill,Station entry/exit,TAPS,"5,041","5,497","5,380","4,310","3,049","4,604","4,968","4,811","3,857","2,756","65,202","782,423","3,175,299"
LU,560,EBYu,Ealing Broadway,Station entry/exit,TAPS,"23,322","26,551","26,324","22,096","16,722","26,387","28,467","26,779","25,037","19,037","350,756","4,209,074","17,081,629"
LU,561,ECMu,Ealing Common,Station entry/exit,TAPS,"2,905","3,218","3,283","2,328","1,880","2,879","3,168","3,177","2,189","1,815","39,615","475,379","1,929,224"
LU,562,ECTu,Earl's Court,Station entry/exit,TAPS,"23,638","25,824","26,345","23,499","18,189","23,563","26,098","27,051","24,734","17,810","340,597","4,087,164","16,586,882"
LU,563,EACu,East Acton,Station entry/exit,TAPS,"5,761","6,201","5,826","4,327","3,101","5,920","6,331","5,797","4,179","3,187","75,695","908,343","3,686,318"
LU,565,EFYu,East Finchley,Station entry/exit,TAPS,"8,145","9,687","8,398","6,812","4,431","8,085","9,639","8,148","6,492","4,587","113,076","1,356,916","5,506,754"
LU,566,EHMu,East Ham,Station entry/exit,TAPS,"17,552","18,440","18,122","14,905","11,455","16,895","17,445","17,064","13,781","10,838","228,270","2,739,238","11,116,615"
LU,567,EPYu,East Putney,Station entry/exit,TAPS,"8,984","10,458","9,763","7,823","5,541","9,003","10,346","9,097","7,372","5,527","125,520","1,506,240","6,112,752"
LU,564,ETEu,Eastcote,Station entry/exit,TAPS,"3,478","3,953","3,564","2,540","1,596","3,349","3,822","3,463","2,432","1,666","45,414","544,969","2,211,642"
LU,568,EDGu,Edgware,Station entry/exit,TAPS,"6,213","6,761","6,241","5,005","3,780","6,143","6,731","6,196","4,904","3,754","82,715","992,585","4,028,194"
LU,774,ERBu,Edgware Road (Bak),Station entry/exit,TAPS,"5,234","6,170","5,579","4,721","3,170","5,503","6,458","5,747","5,261","3,227","76,325","915,894","3,716,960"
LU,569,ERDu,Edgware Road (DIS),Station entry/exit,TAPS,"9,188","10,153","9,351","7,758","5,627","8,754","9,733","9,131","7,754","5,178","122,399","1,468,784","5,960,745"
LU,570,ELEu,Elephant & Castle LU,Station entry/exit,TAPS,"20,452","22,751","23,066","21,389","13,903","19,756","22,332","22,441","20,515","13,445","290,216","3,482,595","14,133,370"
LU,571,EPKu,Elm Park,Station entry/exit,TAPS,"4,209","4,769","4,267","2,870","1,849","4,116","4,625","4,092","2,779","1,866","54,230","650,755","2,640,951"
LU,542,EMBu,Embankment,Station entry/exit,TAPS,"22,467","29,506","26,372","31,132","17,973","22,179","28,994","25,883","30,406","17,122","369,031","4,428,373","17,971,607"
LU,572,EPPu,Epping,Station entry/exit,TAPS,"4,836","5,656","5,109","5,024","3,233","4,876","5,493","5,072","4,806","3,425","69,830","837,958","3,400,673"
LU,574,EUSu,Euston LU,Station entry/exit,TAPS,"43,987","52,511","49,342","49,813","37,859","43,401","53,294","52,705","49,318","37,772","681,612","8,179,349","33,194,142"
LU,575,ESQu,Euston Square,Station entry/exit,TAPS,"18,837","21,791","17,889","11,460","8,185","20,060","22,929","20,160","11,957","9,069","251,777","3,021,321","12,261,387"
LU,576,FLPu,Fairlop,Station entry/exit,TAPS,"1,439","1,728","1,528","1,193",729,"1,407","1,631","1,462","1,180",721,"19,732","236,780","960,921"
LU,577,FARu,Farringdon,Station entry/exit,TAPS,"64,071","83,355","60,960","36,013","21,390","61,959","80,126","58,478","34,490","19,496","847,298","10,167,575","41,262,935"
LU,578,FYCu,Finchley Central,Station entry/exit,TAPS,"7,750","8,716","7,801","7,034","4,452","7,760","9,059","7,735","6,283","4,279","106,420","1,277,037","5,182,582"
LU,579,FRDu,Finchley Road,Station entry/exit,TAPS,"11,611","12,884","12,580","10,011","7,559","11,091","12,196","11,503","9,376","7,135","156,104","1,873,250","7,602,185"
LU,580,FPKu,Finsbury Park,Station entry/exit,TAPS,"28,496","34,220","33,858","32,704","21,749","28,311","33,674","32,861","32,306","21,828","435,796","5,229,555","21,223,035"
LU,581,FBYu,Fulham Broadway,Station entry/exit,TAPS,"10,054","11,672","11,227","8,930","6,233","10,144","11,756","10,745","8,230","5,608","141,457","1,697,486","6,888,886"
LU,582,GHLu,Gants Hill,Station entry/exit,TAPS,"7,737","8,464","8,047","5,892","4,131","7,428","8,050","7,657","5,768","4,036","100,241","1,202,889","4,881,667"
LU,583,GRDu,Gloucester Road,Station entry/exit,TAPS,"18,110","19,702","20,018","16,262","12,300","17,332","19,278","19,507","15,356","11,133","246,956","2,963,476","12,026,633"
LU,584,GGRu,Golders Green,Station entry/exit,TAPS,"9,394","10,334","9,864","7,597","6,259","9,448","10,346","9,819","7,470","6,308","128,197","1,538,370","6,243,145"
LU,585,GHRu,Goldhawk Road,Station entry/exit,TAPS,"2,818","3,170","3,088","2,594","1,675","2,842","3,105","2,915","2,411","1,789","38,955","467,466","1,897,111"
LU,586,GSTu,Goodge Street,Station entry/exit,TAPS,"8,047","9,999","8,126","4,902","2,916","8,658","10,685","8,966","5,027","2,958","111,652","1,339,826","5,437,398"
LU,587,GRHu,Grange Hill,Station entry/exit,TAPS,601,643,617,388,208,580,617,554,297,217,"7,240","86,874","352,560"
LU,588,GPSu,Great Portland Street,Station entry/exit,TAPS,"8,931","11,179","8,743","5,675","3,535","9,155","11,403","9,048","5,519","3,165","121,516","1,458,195","5,917,773"
LU,590,GPKu,Green Park,Station entry/exit,TAPS,"40,404","51,113","42,836","36,136","25,306","45,942","57,381","50,076","42,412","30,014","638,608","7,663,297","31,099,854"
LU,589,GFDu,Greenford,Station entry/exit,TAPS,"5,034","5,600","5,235","3,997","2,736","5,160","5,477","5,099","3,816","2,739","67,047","804,570","3,265,174"
LU,591,GUNu,Gunnersbury,Station entry/exit,TAPS,"6,173","7,331","5,664","3,741","2,669","6,032","7,147","5,364","3,445","2,514","79,037","948,439","3,849,036"
LU,592,HAIu,Hainault,Station entry/exit,TAPS,"4,932","5,381","5,010","3,514","2,234","4,683","5,098","4,771","3,384","2,245","62,206","746,473","3,029,402"
LU,593,HMDu,Hammersmith (DIS),Station entry/exit,TAPS,"31,479","38,309","34,739","29,923","21,110","30,989","38,000","34,227","29,459","20,830","461,683","5,540,193","22,483,691"
LU,773,HMSu,Hammersmith (H&C),Station entry/exit,TAPS,"14,739","16,987","15,479","13,201","8,923","14,561","16,606","14,863","12,849","8,384","203,778","2,445,333","9,923,863"
LU,594,HMPu,Hampstead,Station entry/exit,TAPS,"5,275","6,007","6,104","6,082","4,216","5,998","6,800","6,852","6,784","4,698","84,431","1,013,174","4,111,752"
LU,595,HLNu,Hanger Lane,Station entry/exit,TAPS,"4,232","4,924","4,391","3,878","2,912","4,099","4,760","4,235","3,716","2,808","59,326","711,915","2,889,154"
LU,596,HARu,Harlesden,Station entry/exit,TAPS,"4,561","4,825","4,647","2,848","1,700","4,468","4,653","4,376","2,645","1,833","55,510","666,123","2,703,318"
LU,597,HAWu,Harrow & Wealdstone,Station entry/exit,TAPS,"8,218","8,757","8,231","6,876","3,897","8,109","8,514","7,937","6,686","3,829","105,596","1,267,148","5,142,450"
LU,598,HOHu,Harrow-on-the-Hill,Station entry/exit,TAPS,"13,021","14,122","13,728","10,750","7,431","13,608","14,608","14,093","10,932","7,625","177,378","2,128,542","8,638,232"
LU,779,HTXu,Hatton Cross,Station entry/exit,TAPS,"4,652","4,915","5,185","4,651","3,737","4,977","5,011","5,139","4,883","4,066","67,067","804,799","3,266,105"
LU,781,HRFu,Heathrow Terminal 4 LU,Station entry/exit,TAPS,"2,374","2,465","2,858","2,568","2,967","2,356","2,256","2,535","2,540","2,867","35,228","422,731","1,715,562"
LU,783,HRVu,Heathrow Terminal 5 LU,Station entry/exit,TAPS,"6,949","6,513","6,864","6,335","6,999","5,475","4,938","5,978","5,170","5,997","84,122","1,009,466","4,096,702"
LU,780,HRCu,Heathrow Terminals 123 LU,Station entry/exit,TAPS,"9,101","9,210","11,407","9,927","10,409","7,991","6,852","8,799","8,114","10,072","124,004","1,488,053","6,038,947"
LU,601,HNDu,Hendon Central,Station entry/exit,TAPS,"12,151","13,267","12,158","8,198","6,061","11,292","12,275","10,929","7,429","5,725","150,572","1,806,866","7,332,780"
LU,602,HBTu,High Barnet,Station entry/exit,TAPS,"5,560","6,492","5,919","4,658","2,717","5,548","6,345","5,796","4,479","2,899","76,088","913,059","3,705,457"
LU,605,HSTu,High Street Kensington,Station entry/exit,TAPS,"14,526","16,411","15,867","15,216","11,724","14,196","16,130","15,432","14,342","10,482","209,407","2,512,880","10,197,986"
LU,603,HBYu,Highbury & Islington,Station entry/exit,TAPS,"19,896","23,244","24,001","23,327","14,267","20,757","24,016","24,782","24,674","15,467","308,951","3,707,413","15,045,744"
LU,604,HIGu,Highgate,Station entry/exit,TAPS,"6,558","7,936","7,319","6,604","3,959","6,508","7,649","6,938","6,445","4,264","95,349","1,144,191","4,643,456"
LU,606,HDNu,Hillingdon,Station entry/exit,TAPS,"2,289","2,581","2,424","1,710","1,202","2,104","2,355","2,168","1,565","1,203","29,472","353,670","1,435,294"
LU,607,HOLu,Holborn,Station entry/exit,TAPS,"28,766","37,303","29,361","23,776","14,517","30,921","39,420","31,754","24,334","14,371","427,969","5,135,622","20,841,828"
LU,608,HPKu,Holland Park,Station entry/exit,TAPS,"4,368","4,772","4,689","4,298","2,602","4,375","4,748","4,778","4,319","2,636","60,625","727,495","2,952,382"
LU,609,HRDu,Holloway Road,Station entry/exit,TAPS,"8,041","9,017","8,319","6,706","4,444","8,132","8,741","8,376","6,430","4,455","108,175","1,298,100","5,268,064"
LU,610,HCHu,Hornchurch,Station entry/exit,TAPS,"2,707","2,971","2,598","1,730",887,"2,673","3,001","2,600","1,807",962,"33,882","406,579","1,650,016"
LU,611,HNCu,Hounslow Central,Station entry/exit,TAPS,"4,899","5,262","5,188","4,296","3,114","4,971","5,283","5,052","4,264","3,111","66,531","798,374","3,240,031"
LU,612,HNEu,Hounslow East,Station entry/exit,TAPS,"5,163","5,285","5,410","4,702","3,398","5,496","5,614","5,719","4,878","3,667","71,129","853,542","3,463,919"
LU,613,HNWu,Hounslow West,Station entry/exit,TAPS,"4,376","4,500","4,623","4,120","3,343","4,388","4,571","4,598","4,192","3,377","60,227","722,720","2,933,005"
LU,614,HPCu,Hyde Park Corner,Station entry/exit,TAPS,"4,818","5,266","5,751","5,760","4,415","4,600","5,745","5,724","5,741","4,227","74,066","888,791","3,606,968"
LU,615,ICKu,Ickenham,Station entry/exit,TAPS,"1,301","1,559","1,375",911,556,"1,324","1,601","1,416",930,602,"17,896","214,747","871,505"
LU,616,KENu,Kennington,Station entry/exit,TAPS,"6,684","7,883","7,928","7,526","5,106","6,657","7,734","7,706","7,601","5,271","101,329","1,215,947","4,934,663"
LU,617,KGNu,Kensal Green,Station entry/exit,TAPS,"2,888","3,442","3,191","2,501","1,671","2,877","3,402","3,028","2,213","1,709","40,608","487,297","1,977,592"
LU,618,OLYu,Kensington (Olympia),---see LO---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
LU,619,KTNu,Kentish Town,---Station Closed---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
LU,620,KETu,Kenton,Station entry/exit,TAPS,"2,836","2,976","2,846","1,873","1,347","2,812","2,941","2,808","1,893","1,318","35,485","425,825","1,728,118"
LU,621,KEWu,Kew Gardens,Station entry/exit,TAPS,"4,516","5,162","5,691","3,701","2,739","4,377","5,021","5,446","3,482","2,714","63,212","758,544","3,078,389"
LU,622,KILu,Kilburn,Station entry/exit,TAPS,"8,165","9,022","8,960","7,626","5,687","8,079","8,897","8,732","7,432","5,589","114,028","1,368,339","5,553,114"
LU,623,KPKu,Kilburn Park,Station entry/exit,TAPS,"3,957","4,501","4,413","4,008","2,776","3,864","4,332","4,167","3,854","2,734","56,274","675,283","2,740,493"
LU,625,KXXu,King's Cross St. Pancras,Station entry/exit,TAPS,"102,199","121,571","117,799","119,329","90,173","99,627","120,401","120,718","118,622","89,355","1,583,739","19,004,869","77,127,208"
LU,624,KBYu,Kingsbury,Station entry/exit,TAPS,"6,332","6,766","6,400","4,840","3,417","6,103","6,482","6,319","4,726","3,286","81,167","974,001","3,952,777"
LU,626,KNBu,Knightsbridge,Station entry/exit,TAPS,"20,779","21,658","23,085","25,827","17,156","19,353","21,003","21,160","22,550","14,995","292,887","3,514,650","14,263,456"
LU,627,LGRu,Ladbroke Grove,Station entry/exit,TAPS,"8,493","9,164","9,975","12,160","6,561","8,293","8,944","9,340","10,634","6,082","125,863","1,510,356","6,129,459"
LU,628,LAMu,Lambeth North,Station entry/exit,TAPS,"3,979","4,422","4,454","4,375","3,114","3,759","4,105","4,119","3,827","2,805","56,011","672,130","2,727,695"
LU,629,LANu,Lancaster Gate,Station entry/exit,TAPS,"3,994","4,433","5,123","5,583","3,970","3,748","4,551","5,125","5,171","3,730","63,395","760,735","3,087,279"
LU,630,LATu,Latimer Road,Station entry/exit,TAPS,"3,433","3,961","3,459","2,287","1,686","3,273","3,713","3,210","2,091","1,723","44,181","530,171","2,151,588"
LU,631,LSQu,Leicester Square,Station entry/exit,TAPS,"31,954","39,974","44,441","62,480","35,256","29,920","37,310","41,015","55,913","33,049","565,880","6,790,566","27,558,062"
LU,632,LEYu,Leyton,Station entry/exit,TAPS,"13,033","14,444","14,080","12,698","8,882","13,183","14,585","13,981","12,066","8,835","183,847","2,206,167","8,953,259"
LU,633,LYSu,Leytonstone,Station entry/exit,TAPS,"10,455","11,985","11,395","9,534","6,454","10,402","11,795","11,258","9,501","6,558","146,900","1,762,794","7,153,925"
LU,634,LSTu,Liverpool Street LU,Station entry/exit,TAPS,"81,750","111,117","86,081","75,908","47,817","85,082","111,635","86,148","76,156","49,539","1,256,737","15,080,840","61,202,372"
LU,635,LONu,London Bridge LU,Station entry/exit,TAPS,"74,469","97,602","87,415","94,099","61,150","71,310","93,857","82,352","87,353","56,273","1,188,796","14,265,553","57,893,706"
LU,636,LTNu,Loughton,Station entry/exit,TAPS,"4,042","4,813","4,218","3,610","2,110","4,056","4,853","4,338","3,743","2,140","57,255","687,063","2,788,300"
LU,637,MDVu,Maida Vale,Station entry/exit,TAPS,"4,277","4,852","4,578","3,896","2,654","4,183","4,727","4,284","3,687","2,627","58,922","707,070","2,869,493"
LU,638,MNRu,Manor House,Station entry/exit,TAPS,"8,587","9,572","9,494","8,514","6,427","8,547","9,538","9,196","8,334","6,732","123,158","1,477,900","5,997,741"
LU,639,MANu,Mansion House,Station entry/exit,TAPS,"6,650","8,756","5,697","3,501","2,512","7,039","9,463","6,092","3,765","2,479","92,389","1,108,665","4,499,280"
LU,640,MARu,Marble Arch,Station entry/exit,TAPS,"12,474","14,290","14,104","14,824","10,381","12,395","14,368","14,064","14,555","10,096","188,865","2,266,382","9,197,626"
LU,641,MYBu,Marylebone LU,Station entry/exit,TAPS,"11,640","15,122","12,133","11,379","8,453","12,085","15,792","13,015","11,938","8,525","181,908","2,182,895","8,858,813"
LU,642,MLEu,Mile End,Station entry/exit,TAPS,"17,096","18,603","18,912","14,678","10,537","16,970","18,020","18,263","14,469","10,775","231,570","2,778,837","11,277,318"
LU,643,MHEu,Mill Hill East,Station entry/exit,TAPS,"2,469","2,954","2,562","2,001","1,110","2,613","2,724","2,318","1,900","1,256","33,264","399,166","1,619,931"
LU,646,MPKu,Moor Park,Station entry/exit,TAPS,"1,473","1,561","1,429",696,358,"1,420","1,531","1,411",677,385,"17,125","205,497","833,966"
LU,645,MGTu,Moorgate,Station entry/exit,TAPS,"40,037","55,610","32,781","15,488","9,370","43,839","59,584","36,693","18,595","10,693","553,078","6,636,938","26,934,599"
LU,647,MORu,Morden,Station entry/exit,TAPS,"12,680","14,513","13,433","12,339","8,621","12,050","13,992","13,131","12,388","8,447","178,602","2,143,225","8,697,823"
LU,648,MCRu,Mornington Crescent,Station entry/exit,TAPS,"4,018","5,165","4,644","6,790","2,559","3,470","4,689","4,327","3,608","1,892","60,870","730,436","2,964,318"
LU,649,NEAu,Neasden,Station entry/exit,TAPS,"4,347","4,603","4,512","3,206","2,286","4,028","4,218","4,137","3,040","2,248","54,265","651,184","2,642,691"
LU,650,NEPu,Newbury Park,Station entry/exit,TAPS,"5,468","5,866","5,524","3,902","2,963","4,898","5,326","5,044","3,822","2,808","68,008","816,100","3,311,968"
LU,831,NIEu,Nine Elms,Station entry/exit,TAPS,"6,095","6,992","6,579","5,289","4,646","5,822","6,555","6,026","4,883","4,508","84,487","1,013,846","4,114,478"
LU,653,NACu,North Acton,Station entry/exit,TAPS,"9,581","10,201","10,101","6,842","5,719","9,594","10,025","10,084","6,913","5,873","125,383","1,504,599","6,106,095"
LU,654,NELu,North Ealing,Station entry/exit,TAPS,"1,029","1,082","1,098",749,447,"1,018","1,025","1,010",706,426,"12,803","153,642","623,523"
LU,789,NOGu,North Greenwich,Station entry/exit,TAPS,"25,185","35,456","39,146","39,632","26,105","26,174","37,609","42,694","42,384","26,768","487,281","5,847,372","23,730,312"
LU,656,NHRu,North Harrow,Station entry/exit,TAPS,"2,458","2,667","2,412","1,658","1,072","2,343","2,533","2,296","1,568","1,065","30,471","365,651","1,483,918"
LU,659,NWBu,North Wembley,Station entry/exit,TAPS,"2,288","2,427","2,375","1,669","1,152","2,159","2,271","2,195","1,496","1,060","28,487","341,848","1,387,316"
LU,655,NFDu,Northfields,Station entry/exit,TAPS,"3,894","4,323","4,196","3,124","2,429","3,829","4,266","4,165","3,124","2,502","53,028","636,338","2,582,443"
LU,657,NHTu,Northolt,Station entry/exit,TAPS,"6,848","7,218","7,056","5,587","3,967","6,817","6,730","6,609","5,327","3,890","87,945","1,055,337","4,282,861"
LU,660,NWPu,Northwick Park,Station entry/exit,TAPS,"5,520","5,736","5,378","3,119","2,346","5,461","5,578","5,142","2,973","2,228","66,109","793,312","3,219,489"
LU,661,NWDu,Northwood,Station entry/exit,TAPS,"3,516","3,895","3,678","2,513","1,388","3,465","3,821","3,533","2,330","1,443","45,016","540,196","2,192,270"
LU,662,NWHu,Northwood Hills,Station entry/exit,TAPS,"2,301","2,487","2,381","1,705","1,032","2,219","2,314","2,271","1,490","1,024","28,826","345,906","1,403,787"
LU,663,NHGu,Notting Hill Gate,Station entry/exit,TAPS,"16,161","18,241","19,219","22,271","13,977","17,043","18,986","20,779","26,694","15,684","263,507","3,162,080","12,832,625"
LU,664,OAKu,Oakwood,Station entry/exit,TAPS,"3,385","3,695","3,635","3,214","2,054","3,395","3,757","3,820","3,454","2,115","47,428","569,141","2,309,739"
LU,665,OLDu,Old Street,Station entry/exit,TAPS,"22,303","29,936","24,231","21,495","13,200","21,763","28,890","25,199","22,516","12,372","339,554","4,074,647","16,536,084"
LU,667,OSTu,Osterley,Station entry/exit,TAPS,"2,610","2,872","2,630","2,301","1,488","2,661","2,836","2,521","2,263","1,549","35,147","421,764","1,711,638"
LU,668,OVLu,Oval,Station entry/exit,TAPS,"7,660","8,897","8,698","7,631","5,039","7,577","8,976","8,334","7,445","5,090","111,091","1,333,094","5,410,078"
LU,669,OXCu,Oxford Circus,Station entry/exit,TAPS,"66,514","84,476","72,668","75,829","48,584","72,737","93,391","82,024","86,903","53,117","1,091,979","13,103,742","53,178,744"
LU,670,PADu,Paddington TfL,Station entry/exit,TAPS,"78,868","93,682","83,119","77,499","60,581","75,586","93,291","85,772","77,683","57,578","1,157,603","13,891,236","56,374,618"
LU,671,PRYu,Park Royal,Station entry/exit,TAPS,"2,635","2,724","2,824","2,083","1,606","2,698","2,820","2,944","2,213","1,626","35,263","423,161","1,717,309"
LU,672,PGRu,Parsons Green,Station entry/exit,TAPS,"8,650","10,126","9,092","7,702","4,327","8,644","10,025","8,766","7,115","4,264","119,013","1,428,150","5,795,844"
LU,673,PERu,Perivale,Station entry/exit,TAPS,"2,742","2,975","2,941","2,206","1,487","2,711","2,894","2,825","2,175","1,491","36,185","434,214","1,762,165"
LU,674,PICu,Piccadilly Circus,Station entry/exit,TAPS,"35,369","43,165","46,248","57,119","32,072","33,117","39,857","46,008","56,406","29,556","584,960","7,019,524","28,487,240"
LU,776,PIMu,Pimlico,Station entry/exit,TAPS,"11,199","13,531","11,494","9,278","6,660","11,203","13,288","11,153","9,165","6,765","157,375","1,888,499","7,664,070"
LU,675,PINu,Pinner,Station entry/exit,TAPS,"3,856","4,534","3,927","2,805","1,785","3,866","4,513","4,137","2,675","1,770","51,962","623,541","2,530,509"
LU,676,PLWu,Plaistow,Station entry/exit,TAPS,"7,402","7,937","7,846","6,000","4,439","6,969","7,420","7,193","5,465","4,327","95,712","1,148,549","4,661,143"
LU,677,PRDu,Preston Road,Station entry/exit,TAPS,"3,928","4,287","4,086","3,047","2,045","3,901","4,317","4,006","2,919","2,081","51,825","621,902","2,523,855"
LU,678,PUTu,Putney Bridge,Station entry/exit,TAPS,"6,770","8,169","7,401","6,100","4,374","7,336","8,929","7,792","6,127","4,310","101,502","1,218,020","4,943,073"
LU,680,QPKu,Queen's Park,Station entry/exit,TAPS,"7,096","8,263","7,514","6,113","4,148","6,855","7,908","7,090","5,836","4,261","97,426","1,169,111","4,744,590"
LU,679,QBYu,Queensbury,Station entry/exit,TAPS,"5,025","5,369","5,164","3,734","2,534","5,013","5,323","5,050","3,662","2,433","64,689","776,263","3,150,299"
LU,681,QWYu,Queensway,Station entry/exit,TAPS,"7,379","8,630","9,047","9,499","7,101","8,134","9,455","10,011","10,416","7,488","123,328","1,479,937","6,006,008"
LU,682,RCPu,Ravenscourt Park,Station entry/exit,TAPS,"4,151","4,767","4,581","3,153","2,136","4,054","4,707","4,507","2,943","2,103","56,047","672,566","2,729,466"
LU,683,RAYu,Rayners Lane,Station entry/exit,TAPS,"5,384","5,791","5,616","3,854","3,043","5,171","5,648","5,420","3,741","3,081","69,627","835,521","3,390,786"
LU,684,REDu,Redbridge,Station entry/exit,TAPS,"3,244","3,560","3,413","2,675","1,981","2,986","3,320","3,142","2,427","1,873","42,381","508,575","2,063,944"
LU,685,RPKu,Regent's Park,Station entry/exit,TAPS,"3,104","3,889","3,504","2,461","1,421","3,648","4,368","4,138","2,795","1,522","47,364","568,367","2,306,598"
LU,686,RMDu,Richmond,Station entry/exit,TAPS,"17,088","19,706","20,074","16,255","11,011","16,661","20,196","19,405","14,737","10,908","245,846","2,950,157","11,972,585"
LU,687,RKYu,Rickmansworth,Station entry/exit,TAPS,"2,945","3,447","3,158","2,010","1,158","2,846","3,341","2,987","1,905","1,148","38,520","462,244","1,875,918"
LU,688,RODu,Roding Valley,Station entry/exit,TAPS,267,319,279,175,100,270,313,260,177,115,"3,537","42,448","172,268"
LU,690,ROYu,Royal Oak,Station entry/exit,TAPS,"3,395","3,777","3,597","3,057","2,308","3,162","3,552","3,357","2,831","2,170","45,865","550,381","2,233,604"
LU,691,RUIu,Ruislip,Station entry/exit,TAPS,"2,193","2,493","2,394","1,889","1,211","2,252","2,584","2,428","1,864","1,208","30,670","368,044","1,493,626"
LU,692,RUGu,Ruislip Gardens,Station entry/exit,TAPS,"1,316","1,602","1,406","1,105",636,"1,234","1,435","1,254",988,640,"17,690","212,277","861,481"
LU,693,RUMu,Ruislip Manor,Station entry/exit,TAPS,"2,109","2,448","2,285","1,862",951,"2,147","2,483","2,271","1,770",939,"29,127","349,521","1,418,456"
LU,694,RSQu,Russell Square,Station entry/exit,TAPS,"13,061","14,589","13,780","10,328","8,478","13,879","15,317","14,948","10,980","8,421","183,592","2,203,101","8,940,817"
LU,698,SVSu,Seven Sisters,Station entry/exit,TAPS,"18,508","20,483","20,578","17,662","13,041","18,320","20,244","20,383","17,401","12,895","260,971","3,131,654","12,709,149"
LU,700,SBCu,Shepherd's Bush LU,Station entry/exit,TAPS,"17,941","21,622","20,375","22,240","14,044","17,119","20,540","19,354","21,140","13,339","272,039","3,264,466","13,248,137"
LU,775,SBMu,Shepherd's Bush Market,Station entry/exit,TAPS,"4,921","5,590","5,518","5,573","3,205","4,727","5,339","5,040","5,000","3,014","69,782","837,380","3,398,328"
LU,702,SSQu,Sloane Square,Station entry/exit,TAPS,"19,538","23,616","22,238","20,637","12,521","19,625","23,637","22,231","21,217","12,630","292,394","3,508,729","14,239,428"
LU,703,SNBu,Snaresbrook,Station entry/exit,TAPS,"2,798","3,212","3,109","2,587","1,584","2,757","3,147","2,954","2,424","1,615","38,904","466,851","1,894,614"
LU,704,SELu,South Ealing,Station entry/exit,TAPS,"3,387","3,691","3,680","2,836","1,938","3,479","3,714","3,639","2,846","1,984","46,002","552,029","2,240,290"
LU,707,SHRu,South Harrow,Station entry/exit,TAPS,"3,211","3,412","3,394","2,536","1,695","3,234","3,557","3,459","2,544","1,756","42,734","512,808","2,081,124"
LU,708,SKNu,South Kensington,Station entry/exit,TAPS,"42,049","43,949","46,410","48,287","30,517","43,538","44,943","47,718","48,109","32,022","605,325","7,263,898","29,478,982"
LU,709,SKTu,South Kenton,Station entry/exit,TAPS,"1,593","1,799","1,626","1,189",712,"1,609","1,615","1,461","1,169",689,"20,290","243,480","988,113"
LU,710,SRPu,South Ruislip,Station entry/exit,TAPS,"2,411","2,796","2,455","2,159","1,411","2,355","2,734","2,358","2,109","1,412","33,259","399,107","1,619,690"
LU,711,SWMu,South Wimbledon,Station entry/exit,TAPS,"5,618","6,501","5,887","5,011","3,465","5,376","6,232","5,755","5,281","3,442","78,033","936,394","3,800,154"
LU,712,SWFu,South Woodford,Station entry/exit,TAPS,"5,955","6,934","6,411","5,509","3,384","6,243","7,143","6,556","5,507","3,511","85,306","1,023,676","4,154,369"
LU,705,SFSu,Southfields,Station entry/exit,TAPS,"7,882","9,151","8,218","6,628","4,258","7,509","8,652","7,471","5,971","4,134","105,481","1,265,772","5,136,864"
LU,706,SGTu,Southgate,Station entry/exit,TAPS,"5,860","6,627","6,344","5,312","3,382","6,122","6,987","6,764","5,569","3,554","83,749","1,004,983","4,078,510"
